,TCGA-AA-A00K-01
ENSG00000004846,0.0163
ENSG00000005189,4.0336
ENSG00000005471,0.6827
ENSG00000006071,0.024
ENSG00000008311,0.8596
ENSG00000011198,6.3786
ENSG00000023839,3.1353
ENSG00000033050,16.6295
ENSG00000064687,11.3323
ENSG00000069431,0.4802
ENSG00000073734,0.0195
ENSG00000081760,27.247
ENSG00000085563,49.623
ENSG00000087884,6.7499
ENSG00000090861,50.5284
ENSG00000091262,14.7876
ENSG00000091436,12.2528
ENSG00000094914,50.0363
ENSG00000097007,42.1438
ENSG00000099204,37.7051
ENSG00000100439,16.7044
ENSG00000100997,90.9058
ENSG00000101986,18.2475
ENSG00000103222,42.1732
ENSG00000103591,38.1421
ENSG00000106077,142.9097
ENSG00000107331,23.9083
ENSG00000107362,18.9545
ENSG00000108798,11.7439
ENSG00000108846,37.4868
ENSG00000109576,17.4602
ENSG00000114626,9.5273
ENSG00000114770,6.9902
ENSG00000114771,0.5542
ENSG00000114779,90.6579
ENSG00000115657,0.8689
ENSG00000115977,3.6833
ENSG00000117528,27.1561
ENSG00000118017,0.0
ENSG00000118777,1.3724
ENSG00000119688,9.6814
ENSG00000121270,0.2492
ENSG00000121410,0.0
ENSG00000124574,11.7436
ENSG00000124608,18.8074
ENSG00000125257,7.6168
ENSG00000127220,4.1138
ENSG00000127837,198.2653
ENSG00000128274,4.9381
ENSG00000129673,0.2098
ENSG00000129968,19.9593
ENSG00000131043,48.1748
ENSG00000131269,22.6514
ENSG00000131969,6.3598
ENSG00000135776,18.0133
ENSG00000136379,103.2324
ENSG00000136754,35.5602
ENSG00000138075,0.1216
ENSG00000138443,2.9664
ENSG00000139826,11.3776
ENSG00000140526,49.2158
ENSG00000140798,0.0
ENSG00000141338,0.2547
ENSG00000143322,3.6582
ENSG00000143921,0.0296
ENSG00000143994,0.293
ENSG00000144452,0.2979
ENSG00000144827,29.7408
ENSG00000145063,0.0332
ENSG00000146109,45.7926
ENSG00000146386,136.6929
ENSG00000148584,9.2461
ENSG00000149313,10.5219
ENSG00000150967,4.8204
ENSG00000154175,0.4394
ENSG00000154258,0.0501
ENSG00000154262,0.0745
ENSG00000154263,0.0538
ENSG00000154265,3.1964
ENSG00000157426,5.1177
ENSG00000158122,4.5253
ENSG00000158201,29.5098
ENSG00000159842,63.8605
ENSG00000160179,12.8065
ENSG00000161204,27.1848
ENSG00000162947,0.0
ENSG00000163686,12.6927
ENSG00000163995,7.8723
ENSG00000164074,6.2933
ENSG00000164163,31.7932
ENSG00000165029,3.4687
ENSG00000166016,5.4834
ENSG00000166535,0.0
ENSG00000167972,1.0045
ENSG00000168792,11.483
ENSG00000172350,0.121
ENSG00000173208,0.1678
ENSG00000173210,1.5231
ENSG00000174429,0.1095
ENSG00000175164,39.3101
ENSG00000175899,68.5494
ENSG00000179428,0.0
ENSG00000179859,3.165
ENSG00000179869,0.0237
ENSG00000181409,0.675
ENSG00000182824,0.0
